name,price,type,efficiency,wattage,modular,color,brand
Super Flower Leadex III Gold UP,2599.8,ATX,gold,850,Full,Black,Super Flower
SAMA GT,1599.8,ATX,gold,850,Full,Black,SAMA
MSI MPG A1250GS PCIE5,4599.8,ATX,gold,1250,Full,Black,MSI
Lian Li EDGE GOLD,1999.8,ATX,gold,750,Full,Black,Lian Li
SAMA GT,1599.8,ATX,gold,850,Full,White,SAMA
be quiet! Pure Power 12,2398.0,ATX,gold,850,false,Black,be quiet!
Super Flower LEADEX VII Platinum PRO,3999.8,ATX,platinum,1000,Full,Black,Super Flower
NZXT C1200 (2024),3939.8,ATX,gold,1200,Full,White,NZXT
Silverstone SFX,1746.2,SFX,bronze,300,false,Black,SilverStone
Asus ROG THOR P2 Gaming,4182.39,ATX,platinum,850,Full,Black / Silver,ASUS
Asus ROG STRIX 1000G,5819.0,ATX,gold,1000,Full,Black,ASUS
ASRock Steel Legend SL-1000G,2599.8,ATX,gold,1000,Full,Black,ASRock
ASRock Phantom Gaming PG-850G,2199.79,ATX,gold,850,Full,Black,ASRock
SeaSonic FOCUS SGX (2021),4219.8,SFX,gold,750,Full,Black,Seasonic
Rosewill CMG1000G5,1999.8,ATX,gold,1000,Full,Black,Rosewill
be quiet! Pure Power 9 CM,4992.39,ATX,bronze,600,Semi,Black,be quiet!
Thermaltake Toughpower SFX,3199.8,SFX,platinum,850,Full,Black,Thermaltake
Gigabyte P850GM,3498.0,ATX,gold,850,Full,Black,Gigabyte
Corsair RM750x SHIFT,2799.8,ATX,gold,750,Full / Side,White,Corsair
Super Flower LEADEX VII XG,3199.8,ATX,gold,850,Full,Black,Super Flower
MSI MAG A850GN PCIE5,2099.79,ATX,gold,850,false,Black,MSI
Silverstone HELA 1200R,6414.4,ATX,platinum,1200,Full,Black,SilverStone
Super Flower LEADEX VII Platinum PRO,4799.8,ATX,platinum,1200,Full,Black,Super Flower
EVGA 700 GD,1780.0,ATX,gold,700,false,Black,EVGA
Gigabyte AORUS ELITE P1000,4422.6,ATX,platinum,1000,Full,Black,Gigabyte
EVGA SuperNOVA 1300 P+,4188.6,ATX,platinum,1300,Full,Black,EVGA
Super Flower Leadex III Gold UP,3199.8,ATX,gold,1000,Full,Black,Super Flower
Vetroo GV1000,2599.8,ATX,gold,1000,Full,Pink,Vetroo
be quiet! System Power 10,4100.0,ATX,bronze,550,false,Black,be quiet!
ASRock Steel Legend SL-850GW,2699.8,ATX,gold,850,Full,White,ASRock
MSI MPG A1000G,5146.0,ATX,gold,1000,Full,Black,MSI
Thermaltake TR2 S,1412.2,ATX,plus,600,false,Black,Thermaltake
Corsair RM850e (2022),4000.0,ATX,gold,850,Full,Black,Corsair
SeaSonic VERTEX GX-850,2999.8,ATX,gold,850,Full,Black / Silver,Seasonic
Silverstone FX350-G,2242.8,Flex ATX,gold,350,false,Black,SilverStone
SeaSonic Focus GX V4 ATX 3 (2024),2294.79,ATX,gold,750,Full,White,Seasonic
Corsair RM1000e (2022),5300.0,ATX,gold,1000,Full,Black,Corsair
Apevia ATX-PR850W PCIE5.0,1499.6,ATX,gold,850,false,Black,Apevia
Gigabyte UD850GM-A PG5,2399.79,ATX,gold,850,Full,Black,Gigabyte
GameMax GX Pro Rampage,3199.8,ATX,platinum,1050,Full,White,GameMax
SeaSonic FOCUS GX-750 ATX 3.0,3080.0,ATX,gold,750,Full,Black,Seasonic
ASRock Challenger CL-650B,1259.8,ATX,bronze,650,false,Black,ASRock
Thermaltake Toughpower GF A3 - TT Premium Edition,3199.8,ATX,gold,1200,Full,Black,Thermaltake
Thermaltake Toughpower GF3 TT Premium,3359.8,ATX,gold,1350,Full,Black,Thermaltake
Super Flower LEADEX VII XG,4599.8,ATX,gold,1300,Full,Black,Super Flower
Asus ROG Strix Aura Edition,4084.8,ATX,gold,1000,Full,Black,ASUS
SeaSonic FOCUS GX,3008.2,ATX,gold,650,Full,Black,Seasonic
Azza PSAZ-650W,1199.8,ATX,bronze,650,false,Black,Azza
Cooler Master V1300 Platinum,7838.0,ATX,platinum,1300,Full,Black,Cooler Master
be quiet! Straight Power 12,3459.8,ATX,platinum,750,Full,Black,be quiet!
Thermaltake Toughpower GF A3 - TT Premium Edition,2199.79,ATX,gold,750,Full,Black,Thermaltake
ASRock Phantom Gaming PG-1000G,2999.8,ATX,gold,1000,Full,Black,ASRock
Razer Katana Chroma,2399.79,ATX,platinum,850,Full,Black,Razer
Azza PSAZ-750W,1499.6,ATX,bronze,750,false,Black,Azza
ASRock Steel Legend SL-650G,1959.8,ATX,gold,650,Full,Black,ASRock
ENDORFY Vero L5,1996.4,ATX,bronze,600,false,Black,Desconocida
GAMDIAS KRATOS M1 B,1299.6,ATX,bronze,750,false,Black,Desconocida
Asus TUF Gaming B,1699.8,ATX,bronze,550,false,Black,ASUS
Corsair RM850x (2018),8140.0,ATX,gold,850,Full,White / Black,Corsair
Super Flower Leadex III Gold UP,3599.8,ATX,gold,1300,Full,Black,Super Flower
be quiet! System Power 9 CM,4088.39,ATX,bronze,400,Semi,Black,be quiet!
Super Flower LEADEX VII Platinum PRO,4799.8,ATX,platinum,1200,Full,White,Super Flower
GameMax RGB Pro,2199.79,ATX,gold,850,Full,White,GameMax
Silverstone Essential,1485.0,ATX,gold,550,false,Black / Yellow,SilverStone
Fractal Design Ion Gold,4520.8,ATX,gold,850,Full,Black,Fractal Design
Cooler Master MWE Bronze V2,3586.8,ATX,bronze,750,false,Black,Cooler Master
Thermaltake Toughpower GF3 TT Premium,5999.8,ATX,gold,1650,Full,Black,Thermaltake
ASRock Phantom Gaming PG-750G,1999.8,ATX,gold,750,Full,Black,ASRock
ASRock Phantom Gaming PG-1300G,3799.8,ATX,gold,1300,Full,Black,ASRock
be quiet! System Power 10,5156.79,ATX,gold,850,false,Black,be quiet!
Super Flower Leadex III Gold UP,2399.79,ATX,gold,750,Full,Black,Super Flower
ASRock Challenger CL-550B,1159.8,ATX,bronze,550,false,Black,ASRock
Asus ROG Strix Aura Edition,2799.8,ATX,gold,750,Full,Black,ASUS
EVGA SuperNOVA 650 P6,3110.8,ATX,platinum,650,Full,Black / Silver,EVGA
ASRock Phantom Gaming PG-1600G,4999.8,ATX,gold,1600,Full,Black,ASRock
EVGA SuperNOVA 650 GA,4599.8,ATX,gold,650,Full,Black,EVGA
Super Flower Zillion FG,2199.79,ATX,gold,850,Full,Black,Super Flower
Thermaltake Toughpower PF3-L,2999.8,ATX,platinum,850,Full,Black,Thermaltake
ASRock Steel Legend SL-1000GW,3199.8,ATX,gold,1000,Full,White,ASRock
ADATA XPG CYBERCORE,3399.8,ATX,platinum,1300,Full,Black / Silver,XPG
FSP Group FSP400-60FGGBA,1999.8,Flex ATX,gold,400,false,Silver,FSP
Cooler Master V750 SFX GOLD,2999.8,SFX,gold,750,Full,White,Cooler Master
Thermaltake Smart BX1 550,1249.8,ATX,bronze,550,false,Black,Thermaltake
Cooler Master V SFX Platinum,13540.0,SFX,platinum,1300,Full,Black,Cooler Master
Silverstone SX500-G,2264.4,SFX,gold,500,Full,Black,SilverStone
Asus ROG Strix,5740.4,ATX,platinum,850,Full,Black,ASUS
MSI MPG A850GF,4749.8,ATX,gold,850,Full,Black,MSI
SeaSonic PRIME PX-1600 ATX 3.0,9399.79,ATX,platinum,1600,Full,Black / Silver,Seasonic
