name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
Timetec PINNACLE Konduit 32 GB,1199.8,"4,3200",Black,16.0,2,16,Timetec
Patriot Viper Venom RGB 32 GB,1819.8,"5,6000",Black / Silver,30.0,2,16,Patriot
Kingston FURY Beast 128 GB,8059.8,"5,5600",White,40.0,4,32,Kingston
Corsair Vengeance 48 GB,3599.8,"5,6000",Black / Gray,30.0,2,24,Corsair
Kingston FURY Beast 16 GB,1299.8,"5,5600",Black / Silver,36.0,2,8,Kingston
G.Skill Trident Z5 Royal Neo RGB 96 GB,8999.79,"5,6000",Silver,28.0,2,48,G.Skill
TEAMGROUP T-Force Delta RGB 32 GB,2159.79,"5,6400",Black,32.0,2,16,TeamGroup
G.Skill Ripjaws S5 96 GB,5699.8,"5,6400",Black,32.0,2,48,G.Skill
TEAMGROUP T-Force Delta RGB 32 GB,1498.8,"4,3200",Black,16.0,2,16,TeamGroup
G.Skill Trident Z5 RGB 32 GB,1919.6,"5,6000",Black,36.0,2,16,G.Skill
G.Skill Trident Z5 Neo RGB 32 GB,2699.8,"5,6400",White,30.0,2,16,G.Skill
G.Skill Ripjaws S5 32 GB,1999.8,"5,5600",Black,28.0,2,16,G.Skill
Corsair Vengeance LPX 64 GB,2579.8,"4,3600",Black,18.0,2,32,Corsair
Patriot Viper Venom 32 GB,2299.79,"5,7000",Black / White,32.0,2,16,Patriot
TEAMGROUP T-Force Delta RGB 32 GB,2159.79,"5,6400",White,32.0,2,16,TeamGroup
G.Skill Aegis 32 GB,1399.6,"4,3200",Red / Black,16.0,2,16,G.Skill
TEAMGROUP T-Create Expert 32 GB,1799.8,"5,6400",Black,32.0,2,16,TeamGroup
Kingston FURY Beast RGB 64 GB,4799.8,"5,6000",White,30.0,2,32,Kingston
Lexar THOR OC 32 GB,2099.79,"5,6000",Black / Gold,32.0,2,16,Lexar
Silicon Power XPOWER Zenith RGB Gaming 64 GB,3399.8,"5,6000",White,30.0,2,32,Silicon Power
Corsair Vengeance 64 GB,4399.8,"5,6000",Black / Gray,30.0,2,32,Corsair
TEAMGROUP T-Create Expert 64 GB,3539.8,"5,6000",Black,34.0,2,32,TeamGroup
Corsair Vengeance RGB 32 GB,2899.8,"5,6000",Black / Gray,30.0,2,16,Corsair
Kingston FURY Beast 128 GB,6799.8,"5,5600",Black,36.0,2,64,Kingston
Patriot Viper Venom 16 GB,999.8,"5,6400",Black / Red,32.0,2,8,Patriot
Timetec PINNACLE Konduit 16 GB,639.79,"4,3200",White,16.0,2,8,Timetec
G.Skill Trident Z5 RGB 64 GB,3199.8,"5,6000",Black,36.0,2,32,G.Skill
Corsair Dominator Titanium 64 GB,5999.8,"5,6000",White,30.0,2,32,Corsair
Patriot Viper Venom 16 GB,979.8,"5,6000",Black / White,30.0,1,16,Patriot
Silicon Power XPOWER Zenith RGB Gaming 32 GB,1999.8,"5,6000",White,30.0,2,16,Silicon Power
Corsair Vengeance RGB 64 GB,4899.8,"5,6400",Black / Gray,32.0,2,32,Corsair
Corsair Vengeance 64 GB,2999.8,"5,5600",Black,40.0,2,32,Corsair
G.Skill Trident Z RGB 32 GB,2110.6,"4,3200",Black,16.0,2,16,G.Skill
Kingston KCP424NS6/4 4 GB,199.8,"4,2400",Green / Black,17.0,1,4,Kingston
G.Skill Trident Z5 Royal 48 GB,5599.8,"5,8400",Silver,40.0,2,24,G.Skill
Corsair Vengeance LPX 32 GB,1717.6,"4,3600",Black / Yellow,16.0,2,16,Corsair
G.Skill Trident Z5 RGB 48 GB,4299.8,"5,8000",Black,40.0,2,24,G.Skill
Corsair Vengeance 128 GB,10819.8,"5,5600",Black,40.0,4,32,Corsair
Kingston FURY Beast RGB 128 GB,7999.8,"5,5200",Black,40.0,4,32,Kingston
G.Skill Flare X5 32 GB,2099.79,"5,6000",Black,32.0,2,16,G.Skill
TEAMGROUP Elite 32 GB,1579.6,"4,3200",Black,22.0,2,16,TeamGroup
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6000",Black,38.0,2,16,TeamGroup
ADATA XPG SPECTRIX D35G RGB 16 GB,1099.8,"4,3200",Black,16.0,2,8,ADATA
Crucial Pro 32 GB,1899.8,"5,6400",White,38.0,2,16,Crucial
G.Skill Trident Z RGB 64 GB,2999.8,"4,3600",Black,18.0,2,32,G.Skill
TEAMGROUP T-Force Vulcan Z 16 GB,779.8,"4,3200",Gray,16.0,2,8,TeamGroup
Patriot Viper Venom 64 GB,3199.8,"5,6000",Black / White,36.0,2,32,Patriot
Corsair Vengeance RGB 32 GB,2439.79,"5,6000",White,40.0,2,16,Corsair
Crucial CT51264BA160B 4 GB,205.8,"3,1600",Green,11.0,1,4,Crucial
Corsair Vengeance LPX 16 GB,1719.8,"4,3000",Black / Yellow,15.0,2,8,Corsair
Silicon Power XPOWER Turbine 32 GB,1219.8,"4,3200",Blue,16.0,2,16,Silicon Power
TEAMGROUP T-Force Delta RGB 16 GB,1559.8,"5,6000",White,38.0,2,8,TeamGroup
Corsair Dominator Titanium 64 GB,6399.8,"5,6000",Black,30.0,2,32,Corsair
G.Skill Ripjaws S5 32 GB,2199.79,"5,6400",Black,32.0,2,16,G.Skill
G.Skill Flare X5 96 GB,3699.8,"5,5200",Black,40.0,2,48,G.Skill
Klevv BOLT V 32 GB,1879.8,"5,6000",Black,30.0,2,16,Klevv
G.Skill Ripjaws M5 Neo RGB 32 GB,1899.8,"5,6000",Black,36.0,2,16,G.Skill
Corsair Vengeance RGB 32 GB,2359.79,"5,6400",Black / Gray,32.0,2,16,Corsair
Corsair Vengeance 32 GB,2719.8,"5,6000",Black,28.0,2,16,Corsair
TEAMGROUP Vulcan Z 16 GB,859.8,"4,3600",Black,18.0,2,8,TeamGroup
Silicon Power GAMING 16 GB,759.4,"4,3600",Gray / Silver,18.0,2,8,Silicon Power
TEAMGROUP T-Create Expert 96 GB,5839.8,"5,6400",Black / Gold,32.0,2,48,TeamGroup
G.Skill Ripjaws S5 32 GB,1699.8,"5,5200",Black,40.0,2,16,G.Skill
Corsair Vengeance RGB 64 GB,3699.8,"5,6000",Black,40.0,2,32,Corsair
TEAMGROUP T-Create Expert 32 GB,2219.79,"5,7200",Black,34.0,2,16,TeamGroup
Corsair Vengeance 96 GB,6599.8,"5,6400",Black,32.0,2,48,Corsair
Patriot Signature Line 16 GB,699.8,"5,4800",Black,40.0,1,16,Patriot
Corsair Vengeance RGB 64 GB,5559.8,"5,6400",White,32.0,2,32,Corsair
Crucial CT2K64G56C46U5 128 GB,5599.8,"5,5600",Black,46.0,2,64,Crucial
G.Skill Trident Z RGB 16 GB,1099.8,"4,3200",Black,16.0,2,8,G.Skill
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6400",Black,40.0,2,16,TeamGroup
Silicon Power XPOWER Zenith Gaming 64 GB,3299.8,"5,6000",White,30.0,2,32,Silicon Power
Kingston FURY Beast RGB 128 GB,6999.8,"5,5600",Black,36.0,2,64,Kingston
Patriot Viper Venom 16 GB,979.8,"5,6000",Black / Silver,36.0,2,8,Patriot
Corsair Vengeance RGB Pro 32 GB,2579.8,"4,3200",Black,16.0,4,8,Corsair
G.Skill Ripjaws M5 RGB 32 GB,2299.79,"5,6000",White,30.0,2,16,G.Skill
Kingston FURY Beast 16 GB,1490.8,"4,3200",Black,16.0,1,16,Kingston
G.Skill Flare X5 96 GB,6599.8,"5,6000",Black,30.0,2,48,G.Skill
Kingston FURY Beast 32 GB,1879.8,"5,5200",Black / Silver,40.0,2,16,Kingston
Patriot Viper Venom 32 GB,1679.8,"5,5600",Black / White,36.0,2,16,Patriot
Silicon Power XPOWER Storm RGB 32 GB,1899.4,"5,6400",Black,32.0,2,16,Silicon Power
Corsair Vengeance LPX 16 GB,979.8,"4,3600",Black / Yellow,16.0,2,8,Corsair
Corsair Dominator Platinum RGB 64 GB,7559.8,"5,6600",Black,32.0,4,16,Corsair
Silicon Power XPOWER Storm RGB 32 GB,1719.8,"5,6000",White,36.0,2,16,Silicon Power
TEAMGROUP Elite 16 GB,979.8,"4,3200",Black,22.0,2,8,TeamGroup
Klevv BOLT X 32 GB,1619.6,"4,3600",Black,18.0,2,16,Klevv
Crucial Classic 64 GB,2619.8,"5,5600",Black,46.0,2,32,Crucial
Corsair Vengeance RGB 32 GB,1899.8,"5,6000",Black / Gray,36.0,2,16,Corsair
TEAMGROUP T-Create Expert 16 GB,919.8,"4,3200",Gray,16.0,2,8,TeamGroup
Klevv BOLT X 16 GB,959.8,"4,3600",Black,18.0,2,8,Klevv
Corsair Vengeance 32 GB,1899.8,"5,4800",Black,40.0,2,16,Corsair
G.Skill Aegis 16 GB,739.8,"4,3000",Black / Red,16.0,2,8,G.Skill
TEAMGROUP Elite 32 GB,1519.6,"5,5600",Black,46.0,2,16,TeamGroup
Corsair Vengeance 32 GB,1799.8,"5,5600",Black / Gray,40.0,2,16,Corsair
Patriot Viper Venom RGB 32 GB,1699.8,"5,6000",Black / White,36.0,2,16,Patriot
Timetec PINNACLE Konduit 16 GB,679.8,"4,3600",White,18.0,2,8,Timetec
Patriot Viper 4 Blackout 64 GB,24077.19,"4,3000",Black,16.0,2,32,Patriot
Crucial CT64G4YFQ426S 64 GB,12999.0,"4,2666",Green / Black,19.0,1,64,Crucial
G.Skill Ripjaws S5 64 GB,3859.8,"5,6000",Black,30.0,2,32,G.Skill
Corsair Vengeance RGB 32 GB,2439.79,"5,5600",Black / Gray,40.0,2,16,Corsair
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6400",White,40.0,2,16,TeamGroup
Crucial CT64G56C46U5 64 GB,3139.8,"5,5600",Black,46.0,1,64,Crucial
TEAMGROUP T-Force DELTAα RGB 16 GB,1399.8,"5,6000",White,38.0,2,8,TeamGroup
G.Skill Ripjaws V 32 GB,1999.8,"4,4000",Black,18.0,2,16,G.Skill
TEAMGROUP T-Force Delta RGB 64 GB,3699.8,"5,6000",Black,38.0,2,32,TeamGroup
Klevv KD5AGU880-56K300F 32 GB,1619.6,"5,5600",White,30.0,2,16,Klevv
Crucial CT8G48C40U5 8 GB,499.6,"5,4800",Black,40.0,1,8,Crucial
Acer Predator Vesta II RGB 32 GB,2876.0,"5,6000",Black,30.0,2,16,Acer
Silicon Power XPOWER Zenith RGB Gaming 32 GB,1359.8,"4,3600",Black,18.0,2,16,Silicon Power
Kingston FURY Beast RGB 32 GB,3201.0,"4,3600",Black,18.0,2,16,Kingston
TEAMGROUP T-Force Delta RGB 32 GB,2499.79,"5,6000",Black,28.0,2,16,TeamGroup
Corsair Vengeance 96 GB,7099.8,"5,6000",Black,30.0,2,48,Corsair
Lexar Ares RGB 32 GB,2359.79,"5,6400",Black / Silver,32.0,2,16,Lexar
G.Skill Flare X5 128 GB,7999.8,"5,6000",Black,34.0,2,64,G.Skill
Crucial Pro 96 GB,4199.8,"5,5600",Black,46.0,2,48,Crucial
Corsair Vengeance RGB Pro 16 GB,2079.79,"4,3600",Black,18.0,2,8,Corsair
G.Skill Trident Z5 RGB 96 GB,6799.8,"5,6800",Black,34.0,2,48,G.Skill
PNY XLR8 16 GB,639.79,"4,3200",Black / Red,16.0,2,8,PNY
Patriot Viper Steel 16 GB,1039.8,"4,3600",Silver / Black,17.0,2,8,Patriot
Crucial CT2K8G4DFS824A 16 GB,627.0,"4,2400",Green / Black,17.0,2,8,Crucial
Kingston FURY Beast RGB 64 GB,9920.2,"5,6400",Black,32.0,2,32,Kingston
TEAMGROUP T-Force Delta RGB 16 GB,999.8,"4,3200",White,16.0,2,8,TeamGroup
TEAMGROUP T-Create Expert 48 GB,2919.8,"5,6400",Black / Gold,32.0,2,24,TeamGroup
Crucial Classic 8 GB,439.79,"5,5600",Black,46.0,1,8,Crucial
Corsair Vengeance LPX 256 GB,14075.0,"4,3200",Black / Yellow,16.0,8,32,Corsair
Crucial CT8G4DFRA32A 8 GB,514.4,"4,3200",Green,22.0,1,8,Crucial
G.Skill Trident Z5 Neo RGB 64 GB,6999.8,"5,6000",White / Black,26.0,2,32,G.Skill
G.Skill Trident Z RGB 32 GB,1580.0,"4,3200",Black,16.0,4,8,G.Skill
Patriot Viper 3 16 GB,519.79,"3,1866",Black / Silver,10.0,2,8,Patriot
Patriot Viper Venom 32 GB,1899.8,"5,6000",Black / White,30.0,1,32,Patriot
Corsair Dominator Titanium 64 GB,7559.8,"5,6400",White,32.0,4,16,Corsair
Corsair Dominator Platinum RGB 32 GB,3459.8,"5,6200",Black,36.0,2,16,Corsair
TEAMGROUP T-Create Expert 64 GB,3619.8,"5,6400",Black,34.0,2,32,TeamGroup
