name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Asus X870 AYW GAMING WIFI W,4399.8,AM5,ATX,256,4,White / Silver,True,ASUS
Asus EX-B560M-V5,,LGA1200,Micro ATX,64,2,Red / Black,False,ASUS
Zotac GF6100-F-E,,AM3,Micro ATX,4,2,Multicolor,False,Zotac
Gigabyte GA-H87TN,,LGA1150,Thin Mini ITX,8,2,Blue / White,False,Gigabyte
ASRock FM2A85X-ITX,,FM2,Mini ITX,32,2,Black / Gold,False,ASRock
Gigabyte B660I AORUS Pro DDR4,,LGA1700,Mini ITX,64,2,Black,False,Gigabyte
Asus Maximus V Formula/Assassins C3,,LGA1155,EATX,32,4,Black / Red,False,ASUS
MSI MEG Z790 ACE MAX,,LGA1700,EATX,192,4,Black,False,MSI
EVGA H370 Stinger,,LGA1151,Mini ITX,32,2,Black,False,EVGA
Gigabyte B860M EAGLE WIFI6,,LGA1851,Micro ATX,128,2,Silver / Black,False,Gigabyte
Asus M5A78L-M/USB3,5639.6,AM3+,Micro ATX,32,4,Black / Blue,True,ASUS
MSI 890FXA-GD70,,AM3,ATX,16,4,Black / Blue,False,MSI
MSI A88XI AC V2,,FM2+,Mini ITX,16,2,Black / Silver,False,MSI
MSI Z270 SLI PLUS,8129.8,LGA1151,ATX,64,4,Black / Silver,True,MSI
Supermicro X11SCL-IF,5199.8,LGA1151,Mini ITX,64,2,Green,True,Supermicro
ASRock X399M Taichi,,sTR4,Micro ATX,64,4,Black,False,ASRock
MSI Z87M GAMING,,LGA1150,Micro ATX,32,4,Black / Red,False,MSI
Intel DH55HC,,LGA1156,ATX,16,4,Blue / White,False,Intel
Asus PRIME H610M-A D4-CSM,2199.79,LGA1700,Micro ATX,64,2,Silver / Black,True,ASUS
MAXSUN iCraft Z890 Arctic,,LGA1851,ATX,256,4,White / Silver,False,MAXSUN
ASRock X99 Extreme11,,LGA2011-3,EATX,128,8,Black / Blue,False,ASRock
Gigabyte GA-880GM-D2H (REV. 3.1),,AM3+,Micro ATX,8,2,,False,Gigabyte
Gigabyte B560 HD3,,LGA1200,ATX,128,4,Black / Gray,False,Gigabyte
ASRock 970M PRO3,1399.6,AM3+/AM3,Micro ATX,64,4,Black,True,ASRock
ASRock Z790 Pro RS/D4,4199.8,LGA1700,ATX,128,4,Silver / Black,True,ASRock
ASRock A620AI WiFi,,AM5,Mini ITX,128,2,Black,False,ASRock
Asus F1A75-V EVO,,FM1,ATX,64,4,Black / Blue,False,ASUS
Gigabyte GA-Z97X-SOC,,LGA1150,ATX,32,4,Black / Orange,False,Gigabyte
MSI MAG B550M MORTAR MAX WIFI,3199.8,AM4,Micro ATX,128,4,Silver / Black,True,MSI
MSI NF750-G55,,AM3,ATX,16,4,Black / Blue,False,MSI
Biostar H55 HD,,LGA1156,Micro ATX,8,2,Black / Red,False,Biostar
ASRock A785GXH/128M,1718.6,AM3/AM2+/AM2,ATX,16,4,,True,ASRock
XFX MBN790IUL9,7239.8,LGA775,ATX,8,4,,True,Desconocida
Gigabyte GA-G41MT-S2PT,,LGA775,Micro ATX,8,2,Blue / White,False,Gigabyte
Gigabyte Z390 AORUS PRO,7471.2,LGA1151,ATX,128,4,Black / Silver,True,Gigabyte
