name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
Antec ISK 110 VESA,,Mini ITX Desktop,Mini ITX,Black / Silver,90.0,True,Solid,3.7,0,False,Antec
Thermaltake The Tower 250,2999.0,Mini ITX Tower,Mini ITX,White,,False,Tempered Glass,42.7,1,True,Thermaltake
Armoury C802,,ATX Mid Tower,ATX,White,,False,Tempered Glass,51.4,2,False,Desconocida
Cooler Master HAF XB EVO,,ATX Desktop,ATX,Black,,False,Mesh,61.7,2,False,Cooler Master
Cougar Gemini S,2398.8,ATX Mid Tower,ATX,Gray / Black,,False,Tempered Glass,,2,True,Cougar
Thermaltake V9 BlacX,,ATX Mid Tower,ATX,Black,,False,Acrylic,50.6,5,False,Thermaltake
DIYPC MA01,,MicroATX Mini Tower,Micro ATX,Black / Red,,False,Solid,20.5,1,False,DIYPC
Montech SKY ONE MINI,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,21.9,1,False,Montech
Antec Dark Fleet DF500,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,False,Antec
be quiet! Pure Base 501 LX,3098.0,ATX Mid Tower,ATX,White,,False,Tempered Glass,48.1,2,True,be quiet!
Inter-Tech C-501 Aspect,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,41.1,2,False,Inter-Tech
Sentey Ss1-2429,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,,0,False,Sentey
Broadway Com Corp R-800,,ATX Full Tower,ATX,Black,,False,Solid,60.2,5,False,Broadway Com
Corsair Carbide Series SPEC OMEGA,,ATX Mid Tower,ATX,Black / Red,,False,Tempered Glass,,3,False,Corsair
GameMax Infinity Mini,,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,36.7,1,False,GameMax
RAIJINTEK Metis,,Mini ITX Tower,Mini ITX,White,,False,Acrylic,13.4,1,False,RAIJINTEK
Thermaltake Level 10,,ATX Full Tower,ATX,Black,,False,Solid,129.6,6,False,Thermaltake
Cooler Master Cosmos SE,,ATX Mid Tower,ATX,Black,,False,Acrylic,78.4,8,False,Cooler Master
Vetroo M05,1299.6,MicroATX Mid Tower,Micro ATX,Green,,False,Tempered Glass,36.3,2,True,Vetroo
Silverstone TJ10S-W,,ATX Full Tower,ATX,Silver,,False,Acrylic,69.2,6,False,SilverStone
EVGA Hadron,,Mini ITX Tower,Mini ITX,Black,500.0,True,Acrylic,14.2,2,False,EVGA
SSUPD Meshroom S V2,,MicroATX Mini Tower,Micro ATX,White,,False,Mesh,14.9,2,False,SSUPD
Jonsbo D500,,ATX Full Tower,ATX,Black,,False,Tempered Glass,90.8,10,False,Jonsbo
mean:it 4PM,,ATX Desktop,ATX,Black / Red,,False,Tempered Glass,48.0,3,False,mean:it
NZXT Zero 2,,ATX Full Tower,ATX,Black,,False,Solid,59.7,6,False,NZXT
Lian Li LANCOOL 205M,,MicroATX Mid Tower,Micro ATX,White / Black,,False,Tempered Glass,,2,False,Lian Li
