name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Deepcool CG530 4F,,ATX Mid Tower,ATX,White,,False,Tinted Acrylic,50.0,2,False
Phanteks Eclipse G400A,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,59.4,2,False
Thermaltake View 380 ARGB,2079.79,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,51.6,1,True
Fractal Design Pop XL Silent,2199.79,ATX Full Tower,ATX,Black,,False,Solid,62.4,3,True
HYTE Y70 Touch Infinite,8399.79,ATX Mid Tower,ATX,Red / Black,,False,Tempered Glass,70.7,2,True
Corsair iCUE 7000X RGB,7199.8,ATX Full Tower,ATX,Black,,False,Tempered Glass,81.8,6,True
SAMA SV01,1599.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,43.5,2,True
PC Cooler I100 PRO MESH,2033.8,Mini ITX Desktop,Mini ITX,Gray,,False,Mesh,7.5,1,True
Montech X3 Mesh,1399.6,ATX Mid Tower,ATX,White,,False,Tempered Glass,,2,True
Cooler Master MasterBox NR200P V2,2099.79,Mini ITX Desktop,Mini ITX,White,,False,Mesh,20.1,1,True
Lian Li LANCOOL 217,2499.79,ATX Mid Tower,ATX,White / Brown,,False,Tempered Glass,57.7,1,True
Antec C3 ARGB,1943.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,47.9,1,True
Thermaltake Versa H16 ARGB,999.8,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,33.0,2,True
Deepcool CC360 ARGB,,MicroATX Mini Tower,Micro ATX,Black,,False,Tinted Tempered Glass,38.7,2,False
NZXT H5 Flow RGB (2023),1199.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,47.0,1,True
Lian Li O11 Air Mini,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,44.2,4,False
Fractal Design Focus 2,1559.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.8,2,True
Asus A31,1499.6,ATX Mid Tower,ATX,Black,,False,Tempered Glass,52.9,2,True
Corsair iCUE 5000D RGB AIRFLOW,4099.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,66.2,2,True
Antec C8 Curve Wood,3059.8,ATX Mid Tower,ATX,Black / Brown,,False,Tempered Glass,66.9,1,True
Jonsbo NV10,,Mini ITX Desktop,Mini ITX,Black / Brown,,False,Mesh,4.5,0,False
Jonsbo C6 MAX,1599.8,MicroATX Desktop,Micro ATX,Black,,False,Tempered Glass,20.8,1,True
