name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 RGB 64 GB,3199.8,"5,6000","2,32",2.5,Black,12.0,36.0
Corsair Dominator Titanium 64 GB,5999.8,"5,6000","2,32",4.687,White,10.0,30.0
Patriot Viper Venom 16 GB,979.8,"5,6000","1,16",3.062,Black / White,10.0,30.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,1999.8,"5,6000","2,16",3.125,White,10.0,30.0
Corsair Vengeance RGB 64 GB,4899.8,"5,6400","2,32",3.828,Black / Gray,10.0,32.0
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5.0
Corsair Vengeance 64 GB,2999.8,"5,5600","2,32",2.344,Black,14.286,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3600","2,16",,Black,10.0,18.0
G.Skill Trident Z RGB 32 GB,2110.6,"4,3200","2,16",3.298,Black,10.0,16.0
Kingston KCP424NS6/4 4 GB,199.8,"4,2400","1,4",2.498,Green / Black,14.167,17.0
G.Skill Trident Z5 Royal 48 GB,5599.8,"5,8400","2,24",5.833,Silver,9.524,40.0
Corsair Vengeance LPX 32 GB,1717.6,"4,3600","2,16",2.684,Black / Yellow,8.889,16.0
G.Skill Trident Z5 RGB 48 GB,4299.8,"5,8000","2,24",4.479,Black,10.0,40.0
Corsair Vengeance 128 GB,10819.8,"5,5600","4,32",4.226,Black,14.286,40.0
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16.0
Kingston FURY Beast RGB 128 GB,7999.8,"5,5200","4,32",3.125,Black,15.385,40.0
G.Skill Flare X5 32 GB,2099.79,"5,6000","2,16",3.281,Black,10.667,32.0
TEAMGROUP Elite 32 GB,1579.6,"4,3200","2,16",2.468,Black,13.75,22.0
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6000","2,16",2.812,Black,12.667,38.0
ADATA XPG SPECTRIX D35G RGB 16 GB,1099.8,"4,3200","2,8",3.437,Black,10.0,16.0
Crucial Pro 32 GB,1899.8,"5,6400","2,16",2.968,White,11.875,38.0
G.Skill Trident Z RGB 64 GB,2999.8,"4,3600","2,32",2.344,Black,10.0,18.0
TEAMGROUP T-Force Vulcan Z 16 GB,779.8,"4,3200","2,8",2.437,Gray,10.0,16.0
Patriot Viper Venom 64 GB,3199.8,"5,6000","2,32",2.5,Black / White,12.0,36.0
Corsair Vengeance RGB 32 GB,2439.79,"5,6000","2,16",3.812,White,13.333,40.0
Crucial CT51264BA160B 4 GB,205.8,"3,1600","1,4",2.572,Green,13.75,11.0
Corsair Vengeance LPX 16 GB,1719.8,"4,3000","2,8",5.374,Black / Yellow,10.0,15.0
Silicon Power XPOWER Turbine 32 GB,1219.8,"4,3200","2,16",1.906,Blue,10.0,16.0
TEAMGROUP T-Force Delta RGB 16 GB,1559.8,"5,6000","2,8",4.874,White,12.667,38.0
Corsair Dominator Titanium 64 GB,6399.8,"5,6000","2,32",5.0,Black,10.0,30.0
G.Skill Ripjaws S5 32 GB,2199.79,"5,6400","2,16",3.437,Black,10.0,32.0
G.Skill Flare X5 96 GB,3699.8,"5,5200","2,48",1.927,Black,15.385,40.0
Klevv BOLT V 32 GB,1879.8,"5,6000","2,16",2.937,Black,10.0,30.0
G.Skill Ripjaws M5 Neo RGB 32 GB,1899.8,"5,6000","2,16",2.968,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,2359.79,"5,6400","2,16",3.687,Black / Gray,10.0,32.0
Corsair Vengeance 32 GB,2719.8,"5,6000","2,16",4.25,Black,9.333,28.0
TEAMGROUP Vulcan Z 16 GB,859.8,"4,3600","2,8",2.687,Black,10.0,18.0
Silicon Power GAMING 16 GB,759.4,"4,3600","2,8",2.373,Gray / Silver,10.0,18.0
TEAMGROUP T-Create Expert 96 GB,5839.8,"5,6400","2,48",3.042,Black / Gold,10.0,32.0
Corsair Vengeance RGB Pro 32 GB,,"4,4266","4,8",,Black,8.908,19.0
G.Skill Ripjaws S5 32 GB,1699.8,"5,5200","2,16",2.656,Black,15.385,40.0
Corsair Vengeance RGB 64 GB,3699.8,"5,6000","2,32",2.89,Black,13.333,40.0
TEAMGROUP T-Create Expert 32 GB,2219.79,"5,7200","2,16",3.468,Black,9.444,34.0
Corsair Vengeance 96 GB,6599.8,"5,6400","2,48",3.437,Black,10.0,32.0
Patriot Signature Line 16 GB,699.8,"5,4800","1,16",2.187,Black,16.667,40.0
Corsair Vengeance RGB 64 GB,5559.8,"5,6400","2,32",4.344,White,10.0,32.0
Crucial CT2K64G56C46U5 128 GB,5599.8,"5,5600","2,64",2.187,Black,16.429,46.0
G.Skill Trident Z RGB 16 GB,1099.8,"4,3200","2,8",3.437,Black,10.0,16.0
TEAMGROUP T-Force Delta RGB 32 GB,1799.8,"5,6400","2,16",2.812,Black,12.5,40.0
Silicon Power XPOWER Zenith Gaming 64 GB,3299.8,"5,6000","2,32",2.578,White,10.0,30.0
Kingston FURY Beast RGB 128 GB,6999.8,"5,5600","2,64",2.734,Black,12.857,36.0
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22.0
