name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
ASRock B650M PG RIPTIDE WIFI,3719.8,AM5,Micro ATX,256,4,Black,True,ASRock
MSI X870E GAMING PLUS WIFI,6599.8,AM5,ATX,256,4,Black,True,MSI
Gigabyte Z790 AORUS PRO X,6599.8,LGA1700,ATX,192,4,Silver,True,Gigabyte
Gigabyte B650M D3HP,3388.8,AM5,Micro ATX,192,4,Black,True,Gigabyte
Asus TUF GAMING A620M-PLUS WIFI,3119.8,AM5,Micro ATX,192,4,Black / Orange,True,ASUS
Asus ProArt Z890-CREATOR WIFI,9799.79,LGA1851,ATX,256,4,Black / Gold,True,ASUS
Gigabyte TRX40 AORUS XTREME,21258.0,sTRX4,XL ATX,256,8,Black / Silver,True,Gigabyte
Asus PRIME A520M-K,,AM4,Micro ATX,64,2,Black / Silver,False,ASUS
ASRock B550 Phantom Gaming 4,1999.8,AM4,ATX,128,4,Silver / Black,True,ASRock
Gigabyte X870 GAMING X WIFI7,5199.8,AM5,ATX,256,4,Black,True,Gigabyte
MSI Z790 PROJECT ZERO,5599.8,LGA1700,ATX,256,4,Silver / Black,True,MSI
Asus TUF GAMING X870E-PLUS WIFI7,7199.8,AM5,ATX,256,4,Black / Silver,True,ASUS
Asus X870 MAX GAMING WIFI7,4673.0,AM5,ATX,256,4,Black,True,ASUS
Asus ROG STRIX X570-E GAMING WIFI II,9906.2,AM4,ATX,128,4,Black,True,ASUS
Gigabyte Z790M AORUS ELITE AX ICE,3999.8,LGA1700,Micro ATX,192,4,White / Silver,True,Gigabyte
