name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Thermalright Frost Spirit 140,,1500.0,1500.0,25.6,25.6,Gray,,Air,False,Thermalright
Valkyrie DRAGONFANG,,800.0,2150.0,29.0,29.0,White,240.0,AIO,False,Valkyrie
iTek Hydro Cube,,2000.0,2000.0,31.6,31.6,Black,240.0,AIO,False,Desconocida
Geometric Future Eskimo Junior 24,1998.0,2000.0,2000.0,29.0,29.0,Black,240.0,AIO,True,Geometric Future
Cooler Master MasterLiquid 360 ATMOS Stealth,,1.0,2400.0,30.0,30.0,Black,360.0,AIO,False,Cooler Master
ARCTIC Freezer 33 TR (Black/White),,200.0,1800.0,24.4,24.4,,,Air,False,ARCTIC
Cooler Master Vortex 211P,,2200.0,2200.0,,,,,Air,False,Cooler Master
Zalman CNPS8900 Quiet,,1000.0,1500.0,19.0,25.0,,,Air,False,Zalman
GAMDIAS AURA GL360,1199.8,800.0,2000.0,11.0,29.0,Black,360.0,AIO,True,GAMDIAS
Alpenföhn BLACK RIDGE,1392.2,800.0,2800.0,14.0,37.6,Black,,Air,True,Alpenföhn
KOLINK Umbra Void,3056.39,2200.0,2200.0,30.0,30.0,Black,360.0,AIO,True,KOLINK
Dynatron R15,979.0,,,,,,,Air,True,Dynatron
Deepcool ICE BLADE 100,,2200.0,2200.0,31.6,31.6,,,Air,False,DeepCool
NZXT T120 RGB,659.8,500.0,1800.0,17.2,27.5,Black,,Air,True,NZXT
Asus TUF Gaming LC II ARGB,2399.79,800.0,2000.0,29.0,29.0,Black,240.0,AIO,True,ASUS
HYTE THICC Q60,4980.0,,,10.0,47.3,White / Black,240.0,AIO,True,HYTE
PC Cooler RZ820,,500.0,2200.0,32.0,32.0,Black,,Air,False,PC Cooler
be quiet! Dark Rock Pro 5,1998.0,1300.0,2000.0,8.9,23.3,Black,,Air,True,be quiet!
Alpenföhn Brocken 2 PCGH,,700.0,700.0,18.5,18.5,,,Air,False,Alpenföhn
Asus ROG RYUJIN 360,,450.0,2000.0,29.7,29.7,Black,360.0,AIO,False,ASUS
Scythe SCNJ-4000,,300.0,1500.0,4.0,29.5,,,Air,False,Scythe
Deepcool CAPTAIN 240,,600.0,2200.0,17.6,39.29,,240.0,AIO,False,DeepCool
be quiet! Dark Rock TF,,1400.0,1400.0,11.9,26.7,,,Air,False,be quiet!
