name,price,capacity,price_per_gb,type,cache,form_factor,interface
Seagate IronWolf Pro,5100.0,8000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4600.0,6000.0,0.038,7200,256.0,3.5,SATA 6.0 Gb/s
Hitachi 0F23663,20900.0,6000.0,0.174,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,4999.8,14000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 960 Pro,3917.2,512.0,0.383,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Vortex Redline,1859.8,1000.0,0.093,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,1699.8,4000.0,0.021,5400,64.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M580 FROZR,6459.8,2000.0,0.161,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 860 Evo,7446.4,4000.0,0.093,SSD,4096.0,2.5,SATA 6.0 Gb/s
HP EX920,1359.6,512.0,0.133,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,759.8,1000.0,0.038,5400,8.0,2.5,SATA 6.0 Gb/s
Seagate Archive HDD v2,2792.6,5000.0,0.028,5900,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2080.0,3000.0,0.035,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba DT01ACA050,679.4,500.0,0.068,7200,32.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,7179.8,18000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4999.8,12000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,1899.8,2000.0,0.047,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,284.2,320.0,0.044,5400,8.0,3.5,SATA 3.0 Gb/s
Western Digital Blue,2020.0,4000.0,0.025,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,4368.2,8000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4999.8,12000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1898.8,3000.0,0.032,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,3799.8,500.0,0.38,SSD,512.0,M.2-2280,M.2 SATA
Seagate Momentus Thin,1128.0,500.0,0.113,5400,16.0,2.5,SATA 3.0 Gb/s
Seagate IronWolf NAS,3100.0,4000.0,0.039,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,8980.0,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,8999.79,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,1399.6,3000.0,0.023,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba N300,2854.2,4000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,999.8,1000.0,0.05,7200,64.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,1160.0,1000.0,0.058,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf Pro NAS,5399.8,14000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
